UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2016,6,3,Van Halen rising : how a Southern California backyard party band saved heavy metal / Greg Renoff.,,"Renoff, Gregory J., 1969-","Van Halen Musical group, Rock groups United States Biography, Rock musicians United States Biography","ECW Press,",2015.
Physical,Horizon,BOOK,2016,6,1,"Handmade weddings : more than 50 crafts to style and personlize your big day / Eunice Moyle, Sabrina Moyle, and Shana Faust ; photographs by Joseph De Leo.",,"Moyle, Eunice","Handicraft, Wedding decorations","Chronicle Books,",c2010.
Digital,Freegal,SONG,2016,6,1,Stilettos,,Kelsea Ballerini,,,
Physical,Horizon,BOOK,2016,6,1,"Bunny drop. 3 / Yumi Unita ; [translation, Kaori Inoue ; lettering, Alexis Eckerman].",,"Unita, Yumi, 1972-","Fathers and daughters Comic books strips etc, Bachelors Comic books strips etc, Families Comic books strips etc, Illegitimate children Comic books strips etc, Graphic novels","Yen Press,",2011.
Digital,Freegal,SONG,2016,6,1,Moses Dub,,Mad Professor & Joe Ariwa,,,
Digital,OverDrive,EBOOK,2016,6,4,"Two of the Deadliest: New Tales of Lust, Greed, and Murder from Outstanding Women of Mystery",,Elizabeth George,"Fiction, Mystery, Suspense",HarperCollins Publishers Inc.,2009
Digital,OverDrive,EBOOK,2016,6,1,The Blind Contessa's New Machine,,Carey Wallace,"Fiction, Historical Fiction","Penguin Group (USA), Inc.",2010
Digital,OverDrive,AUDIOBOOK,2016,6,8,"All the Birds, Singing: A Novel (unabridged)",,Evie Wyld,"Fiction, Literature","Blackstone Audio, Inc.",2014
Physical,Horizon,BOOK,2016,6,1,Shakespeare in love / adapted for the stage by Lee Hall ; based on the screenplay by Marc Norman & Tom Stoppard.,,"Hall, Lee, 1966-","Shakespeare William 1564 1616 Drama, Drama","Grove Press,",[2015]
Physical,Horizon,BOOK,2016,6,1,Kid Moses / Mark R. Thornton.,,"Thornton, Mark R.","Street children Tanzania Fiction, Wilderness areas Tanzania Fiction, Interpersonal relations Fiction","Arcade Publishing,",2015.
